"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"interest-whiskey","whiskey",whisky,,,,"11:48 05/09/2022"
"affliction-migraines","migraines",migrény,,,,"11:48 05/09/2022"
"partner job","Partner job",Práce partnera,,,,"11:48 05/09/2022"
"interest-music","Music",Hudba,,,,"11:48 05/09/2022"
"lives on the ","Lives on the ",Žije na,,,,"11:48 05/09/2022"
"telephone","Telephone",Telefon,,,,"11:48 05/09/2022"
"works in ","Works in ",Práce v,,,,"11:48 05/09/2022"
"voice id","Voice ID",ID hlasů,,,,"11:48 05/09/2022"
"passcode","Passcode",Přístupový kód,,,,"11:48 05/09/2022"
"interest-baseball","Baseball",Baseball,,,,"11:48 05/09/2022"
"lives in ","Lives in ",Žije v,,,,"11:48 05/09/2022"
"location","Location",Umístění,,,,"11:48 05/09/2022"
"blueprints","Blueprints",Plány,,,,"11:48 05/09/2022"
"type","Type",Typ,,,,"11:48 05/09/2022"
"belongs to","Belongs To",Patří do,,,,"11:48 05/09/2022"
"name","Name",Název,,,,"11:48 05/09/2022"
"photo","Photo",Foto,,,,"11:48 05/09/2022"
"fingerprint","Fingerprint",Otisk prstu,,,,"11:48 05/09/2022"
"first name","First Name",Jméno,,,,"11:48 05/09/2022"
"surname","Surname",Příjemci,,,,"11:48 05/09/2022"
"affliction-alcoholic","alcoholism",alkoholismus,,,,"11:48 05/09/2022"
"member","member",člen,,,,"11:48 05/09/2022"
"interest-houseplants","house plants",pokojové rostliny,,,,"11:48 05/09/2022"
"old","old",starý,,,,"11:48 05/09/2022"
"affliction-chronicpain","chronic pain",chronická bolest,,,,"11:48 05/09/2022"
"apos","A+",A+,,,,"11:48 05/09/2022"
"aneg","A-",A-,,,,"11:48 05/09/2022"
"bpos","B+",B+,,,,"11:48 05/09/2022"
"bneg","B-",B-,,,,"11:48 05/09/2022"
"opos","O+",O+,,,,"11:48 05/09/2022"
"oneg","O-",O-,,,,"11:48 05/09/2022"
"abpos","AB+",AB+,,,,"11:48 05/09/2022"
"abneg","AB-",AB-,,,,"11:48 05/09/2022"
"?",,?,,,,"11:48 05/09/2022"
"affliction-athsma","asthma",astma,,,,"11:48 05/09/2022"
"affliction-depression","depression",deprese,,,,"11:48 05/09/2022"
"affliction-diabetic","diabetes",diabetes,,,,"11:48 05/09/2022"
"affliction-hardofhearing","hearing loss",ztráta sluchu,,,,"11:48 05/09/2022"
"affliction-insomnia","insomnia",nespavost,,,,"11:48 05/09/2022"
"interest-americanfootball","grid iron football",fotbalová mřížka,,,,"11:48 05/09/2022"
"interest-architecture","architecture",architektura,,,,"11:48 05/09/2022"
"interest-balletdancing","ballet dancing",baletní tanec,,,,"11:48 05/09/2022"
"interest-beer","beer",pivo,,,,"11:48 05/09/2022"
"interest-bodybuilding","bodybuilding",kulturistika,,,,"11:48 05/09/2022"
"interest-bookworm","books",knihy,,,,"11:48 05/09/2022"
"interest-calligraphy","calligraphy",kaligrafie,,,,"11:48 05/09/2022"
"interest-chemistry","chemistry",chemie,,,,"11:48 05/09/2022"
"interest-chess","chess",šachy,,,,"11:48 05/09/2022"
"interest-classicliterature","classic literature",klasická literatura,,,,"11:48 05/09/2022"
"interest-coffeeconnoisseur","coffee",káva,,,,"11:48 05/09/2022"
"interest-collectingmemorabilia","collecting memorabilia",sbírání memorabilií,,,,"11:48 05/09/2022"
"interest-creativewriting","creative writing",tvůrčí psaní,,,,"11:48 05/09/2022"
"interest-diy","DIY",kutilství,,,,"11:48 05/09/2022"
"interest-drawing","drawing",kreslení,,,,"11:48 05/09/2022"
"interest-guns","guns",zbraně,,,,"11:48 05/09/2022"
"interest-ikebana","ikebana",ikebana,,,,"11:48 05/09/2022"
"interest-juggling","juggling",žonglování,,,,"11:48 05/09/2022"
"interest-knitting","knitting",pletení,,,,"11:48 05/09/2022"
"interest-meatlover","meat",maso,,,,"11:48 05/09/2022"
"interest-painting","painting",malování,,,,"11:48 05/09/2022"
"interest-photography","photography",fotografování,,,,"11:48 05/09/2022"
"interest-poetry","poetry",poezie,,,,"11:48 05/09/2022"
"interest-soccer","soccer",fotbal,,,,"11:48 05/09/2022"
"interest-sports","sports",sport,,,,"11:48 05/09/2022"
"interest-tarot","tarot",tarot,,,,"11:48 05/09/2022"
"interest-teaconnoisseur","tea",čaj,,,,"11:48 05/09/2022"
"interest-tennis","tennis",tenis,,,,"11:48 05/09/2022"
"interest-violin","violin",housle,,,,"11:48 05/09/2022"
"interest-vodka","vodka",vodka,,,,"11:48 05/09/2022"
"interest-weightlifting","weightlifting",vzpírání,,,,"11:48 05/09/2022"
"interest-wine","wine",víno,,,,"11:48 05/09/2022"
"district","District",Ulice,,,,"11:33 30/09/2022"
"sample","Sample",Vzorek,,,,"15:35 12/12/2022"
"partner is member","Partner is member",Partner je členem,,,,"14:52 26/04/2023"
"partner is member_F","",Partner je členem,"",,"","14:25 11/09/2023"
