"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"social credit","Social credit","Socialni uver",,,,"11:49 05/09/2022"
"job failed","Job Failed","Prace se nezdarila",,,,"11:49 05/09/2022"
"locked_help","Locked! Interact with the door handle for options...","Zamceno! Moznosti interakce s klikou dveri...",,,,"16:12 05/10/2022"
"locked","Locked!","Zamceno!",,,,"16:12 05/10/2022"
"look at the target object to progress the action","Look at the target object to progress the action","Podivejte se na cilovy objekt a pokracujte v akci",,,,"16:35 05/10/2022"
"nobody_home","If nobody is home you may have to come back later (or find them)...","Pokud nikdo neni doma, budete se muset vratit pozdeji (nebo je najit)...",,,,"11:52 24/10/2022"
"unable to save at this time","Unable to save at this time","V tuto chvili nelze ulozit",,,,"10:04 29/11/2022"
"game saved","Game saved","Hra ulozena",,,,"10:12 29/11/2022"
"fingerprint_prompt","Inspect fingerprints after scanning with |controls.secondary|","Kontrola otisku prstu po skenovani pomoci |controls.secondary|",,,,"14:58 03/02/2023"
"not_enough_money","You don't have enough money!","Nemate dost penez!",,,,"14:43 15/02/2023"
"you have acquired information about residents of: ","You have acquired information about residents of: ","Ziskane informace o obyvatelich: ",,,,"14:18 28/03/2023"
"new apartment","New Apartment","Nový apartman",,,,"15:53 09/05/2023"
