"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"vandalismhome_d2a","Vandalism",Vandalismus,,,,"11:49 05/09/2022"
"where does the target live?","Where does the perp live?",Kde pachatel žije?,,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target.","Cause Cr|revengeamount| of vandalism at the home of the perp",Příčina Cr|revengeamount| vandalismu v domě pachatele,,,,"11:49 05/09/2022"
"kick down the door of the target.","Kick down the door of the perp",Vykopněte dveře pachatele,,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target by filling it with trash.","Cause Cr|revengeamount| of vandalism at the home of the perp by filling it with trash","Způsobit Cr|revengeamount| vandalství v domě pachatele tím, že ho zaplníte odpadky.",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target by breaking windows.","Cause Cr|revengeamount| of vandalism at the home of the perp by breaking windows",Způsobení Cr|revengeamount| vandalismu v domě pachatele rozbitím oken,,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of |purp.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at the home of |purp.name| by filling it with trash","Způsobit Cr|revengeamount| vandalismu v domě |purp.name| tím, že ho zaplníš odpadky.",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at |purp.home.name| by breaking windows.","Cause Cr|revengeamount| of vandalism at |purp.home.name| by breaking windows",Způsobení Cr|revengeamount| vandalismu na |purp.home.name| rozbitím oken,,,,"11:49 05/09/2022"
"kick down the door of |purp.name|.","Kick down the door of |purp.name|",Vykopněte dveře |purp.name|,,,,"11:49 05/09/2022"
"vandalism","Vandalism",Vandalismus,,,,"11:49 05/09/2022"
"humiliate","Humiliate",Ponížit,,,,"11:49 05/09/2022"
"throw some food in the face of |purp.name|.","Throw some food in the face of |purp.name|",Hodit nějaké jídlo do obličeje |purp.name|,,,,"11:49 05/09/2022"
"take a photo of them","Take a photo of them",Vyfoťte je,,,,"11:49 05/09/2022"
"identify the target","Identify the perp",Identifikace pachatele,,,,"11:49 05/09/2022"
"photograph","Photograph",Fotografie,,,,"11:49 05/09/2022"
"take a photo of the target","Take a photo of the target",Vyfotografujte cíl,,,,"11:49 05/09/2022"
"ask staff","Ask the staff about |random.casualname|",Zeptejte se personálu na |random.casualname|,,,,"11:49 05/09/2022"
"find dossier","Find & open the hidden briefcase",Najdete a otevřete skrytý kufřík,,,,"11:49 23/03/2023"
"take a photo of |purp.name|","Take a photo of |purp.name|",Vyfotografujte |purp.name|,,,,"11:49 05/09/2022"
"call","Call |fakenumber|",Volání |fakenumber|,,,,"11:49 05/09/2022"
"setup goose chase","Get to the payphone at |callphone.location.name| for |calltime.time24|",Dojdi k telefonní budce na |callphone.location.name| za |calltime.time24|,,,,"11:49 05/09/2022"
"answer","Answer the telephone",Zvedni telefon,,,,"11:49 05/09/2022"
"submit under door","To conclude, post findings under the door at |submission.name|",Na závěr zveřejněte zjištění pod dveřmi na adrese |submission.name|,,,,"11:49 05/09/2022"
"setup meet","Talk to the person sitting with a |meetitem| at |meet.location.name|",Promluvte si s osobou sedící s |meetitem| na |meet.location.name|,,,,"11:49 05/09/2022"
"open dossier","Open the briefcase",Otevřete kufřík,,,,"11:49 05/09/2022"
"has camera","Acquire a camera (from City Hall or elsewhere)",Pořídit kameru (na radnici nebo jinde).,,,,"11:49 05/09/2022"
"retrieveitem","Retrieve Item",Získat položku,,,,"11:49 05/09/2022"
"who is the partner of |poster.name| cheating with?","Who is the partner of |poster.name| cheating with?",S kým podvádí partner |poster.name|?,,,,"11:49 05/09/2022"
"can you provide a photo of the cheater?","Can you provide a photo of the cheater?",Můžete poskytnout fotografii podvodníka?,,,,"11:49 05/09/2022"
"throw some food in the face of the target.","Throw some food in the face of the target",Hoďte čili do obličeje nějaké jídlo.,,,,"11:49 05/09/2022"
"submit to poster","To conclude, find |poster.name|",Na závěr najdete |poster.name|,,,,"11:49 05/09/2022"
"theft","Theft",Krádež,,,,"11:49 05/09/2022"
"home meeting","Investigate the theft at |poster.home.name|",Vyšetřete krádež na adrese |poster.home.name|,,,,"11:49 05/09/2022"
"you cannot take your possessions with you to the retirement distict: please nominate a citizen to receive your possessions upon exit from the city.","You cannot take your possessions with you to the retirement district, please nominate a citizen to receive your possessions upon exit from the city:","Svůj majetek si nemůžete vzít s sebou do důchodového okrsku, jmenujte prosím občana, který váš majetek při odchodu z města převezme:",,,,"11:49 05/09/2022"
"please leave any additional comments below: ","Please leave any additional comments below: ",Níže prosím zanechte další komentáře:,,,,"11:49 05/09/2022"
"collect retirement form","Collect retirement form from City Hall",Vyzvednutí formuláře pro odchod do důchodu na radnici,,,,"11:49 05/09/2022"
"stealbriefcase","Tail & Acquire",Tail & Acquire,,,,"11:49 05/09/2022"
"find and tail the person with the briefcase","Find and tail the person with the briefcase",Najdete osobu s kufříkem a sledujte ji.,,,,"11:49 05/09/2022"
"who does the mark give the briefcase to?","Who does the mark give the briefcase to?",Komu značka předá kufřík?,,,,"11:49 05/09/2022"
"provide photographic evidence of the recipient","Provide photographic evidence of the recipient",Poskytněte fotografický důkaz příjemce,,,,"11:49 05/09/2022"
"where does the exchange take place?","Where does the exchange take place?",Kde probíhá výměna?,,,,"11:49 05/09/2022"
"steal the briefcase","Steal the briefcase",Ukrást kufřík,,,,"11:49 05/09/2022"
"missed call","Missed Call",Zmeškaný hovor,,,,"11:49 05/09/2022"
"provide photographic evidence of the exchange","Provide photographic evidence of the exchange",Poskytněte fotografický důkaz o výměně,,,,"11:49 05/09/2022"
"leave the briefcase near the |secretlocation|","Leave the briefcase near the |secretlocation|",Nechte kufřík poblíž |secretlocation|,,,,"11:49 05/09/2022"
"call |fakenumber|","Call |fakenumber|",Volání |fakenumber|,,,,"11:49 05/09/2022"
"in the",,v,,,,"11:49 05/09/2022"
"at","at",na adrese,,,,"11:49 05/09/2022"
"briefcase has been opened","Briefcase has been opened",Kufřík byl otevřen,,,,"11:49 05/09/2022"
"briefcase was destroyed","Briefcase was destroyed",Kufřík byl zničen,,,,"11:49 05/09/2022"
"destroy the briefcase by throwing it into the sea","Destroy the briefcase by throwing it into the sea",Zničte kufřík vhozením do moře.,,,,"11:49 05/09/2022"
"arrest","Arrest",Zatčení,,,,"11:49 05/09/2022"
"indentify the suspect","Identify the suspect",Identifikace podezřelého,,,,"11:49 05/09/2022"
"arrest the target","Arrest the suspect",Zatčení podezřelého,,,,"11:49 05/09/2022"
"has handcuffs","Acquire handcuffs (from City Hall or elsewhere)",Získat pouta (na radnici nebo jinde).,,,,"11:49 05/09/2022"
"submit to city hall","Submit to City Hall",Předložit na radnici,,,,"11:49 05/09/2022"
"a rare sync disk","a rare sync disk",vzácný Sync disk,,,,"11:49 05/09/2022"
"pick up your reward cityhalldesk","Pick up your reward on the desk at City Hall",Vyzvedněte si odměnu na radnici.,,,,"11:49 20/10/2022"
"pick up your reward","Pick up your reward",Vyzvedněte si odměnu,,,,"11:49 20/10/2022"
"recover my |stolenitem.name| and place it in my mailbox","Recover my |stolenitem.name| and place it in the mailbox for |poster.home.name|",Obnovte můj |stolenitem.name| a vložte jej do schránky pro |poster.home.name|,,,,"14:10 20/10/2022"
"arrest the killer","Arrest the killer",Zatčení vraha,,,,"14:23 25/10/2022"
"locate and steal the item; |stolenitem.name|","Locate and steal the item from the mark; |stolenitem.name|",Najděte a ukradnete předmět ze značky; |stolenitem.name|,,,,"16:07 07/11/2022"
"leave the item near the |secretlocation|","Leave the item near the |secretlocation|",Ponechte položku v blízkosti |secretlocation|,,,,"16:07 07/11/2022"
"pick up your reward postersmailbox","Pick up your reward from the mailbox of |poster.home.name|",Vyzvedněte si odměnu v poštovní schránce |poster.home.name|,,,,"16:52 07/11/2022"
"destroy the item by throwing it into the sea","Destroy the item by throwing it into the sea",Zničte předmět vhozením do moře.,,,,"13:54 14/12/2022"
"callhandin","Call |fakenumber|",Volání |fakenumber|,,,,"15:54 14/12/2022"
"an important item was destroyed!","An important item was destroyed!",Důležitý předmět byl zničen!,,,,"17:07 14/12/2022"
"beat up the target.","Beat up the target",Zničit cíl,,,,"11:59 09/01/2023"
"handcuff |purp.name|, leave them somewhere non-public.","Handcuff |purp.name|, leave them somewhere non-public","Spoutejte je |purp.name|, nechte je na neveřejném místě",,,,"11:59 09/01/2023"
"handcuff the target, leave them somewhere non-public.","Handcuff the target, leave them somewhere non-public",Spoutejte cíl a nechte ho na neveřejném místě.,,,,"11:59 09/01/2023"
"beat up |purp.name|.","Beat up |purp.name|",Porazit |purp.name|,,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.home.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at |purp.home.name| by filling it with trash","Způsobit Cr|revengeamount| vandalismu na |purp.home.name| tím, že ji zaplníte odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the home of the target by filling it with trash","Cause Cr|revengeamount| of vandalism at the home of the target by filling it with trash","Způsobit Cr|revengeamount| vandalství v domě cíle tím, že ho zaplníte odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name|.","Cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name|",Příčina Cr|revengeamount| vandalismu na |purp.job.employer.location.name|,,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name|.","Cause Cr|revengeamount| of vandalism at the workplace of |purp.name|",Příčina Cr|revengeamount| vandalismu na pracovišti |purp.name|,,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target.","Cause Cr|revengeamount| of vandalism at the workplace of the target",Příčina Cr|revengeamount| vandalismu na pracovišti cíle,,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by filling it with trash","Způsobit Cr|revengeamount| vandalismu na |purp.job.employer.location.name| tím, že ji zaplníte odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by filling it with trash","Způsobit Cr|revengeamount| vandalismu na pracovišti |purp.name| tím, že ho zaplníte odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target by filling it with trash","Cause Cr|revengeamount| of vandalism at the workplace of the target by filling it with trash","Způsobit Cr|revengeamount| vandalství na pracovišti cíle tím, že ho zaplníte odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by breaking windows.","Cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by breaking windows",Způsobení Cr|revengeamount| vandalismu na |purp.job.employer.location.name| rozbitím oken,,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by breaking windows.","Cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by breaking windows",Způsobení Cr|revengeamount| vandalismu na pracovišti |purp.name| rozbitím oken,,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target by breaking windows.","Cause Cr|revengeamount| of vandalism at the workplace of the target by breaking windows.",Způsobit Cr|revengeamount| vandalismus na pracovišti s cílem rozbití oken.,,,,"11:59 09/01/2023"
"wait for the meeting to take place","Wait for the meeting to take place","Počkejte, až se schůzka uskuteční",,,,"12:13 21/03/2023"
"without anybody seeing, dispose of the body at: ",,"Aniž by to někdo viděl, zlikvidujte tělo na: ",,,,"15:08 20/03/2024"
"hint: you can dispose of a body by throwing it into the sea or a dumpster",,"Tip: Tělo můžete zlikvidovat tak, že ho hodíte do moře nebo do popelnice",,,,"15:26 20/03/2024"
"examine the ransom note found at ",,Prozkoumejte výkupné na adrese: ,,,,"16:07 28/03/2024"
"ransom ",,Volitelné: Umístěte aktovku s Cr|killer.nextmurder.ransom| ve sklepě na |ransomlocation|,,,,"16:08 28/03/2024"
"call to trigger ransom ",,"Volitelné: Chcete-li vybrat výkupné, volejte: ",,,,"11:58 29/03/2024"
"ransom_wait",,"Počkejte, až bude vyzvednut kufřík s výkupným...",,,,"12:00 29/03/2024"
"set_victim_free",,Zachraň |killer.nextmurder.victim.name| pomocí |killer.nextmurder.kidnapkilltime.time12rounded15|,,,,
"ransom_wait_free",,Čekej na |killer.nextmurder.victim.name| než bude osvobozen...,,,,"16:07 29/03/2024"
