"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"vandalismhome_d2a","Vandalism","Vandalismus",,,,"11:49 05/09/2022"
"where does the target live?","Where does the perp live?","Kde pachatel zije?",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target.","Cause Cr|revengeamount| of vandalism at the home of the perp","Pricina Cr|revengeamount| vandalismu v dome pachatele",,,,"11:49 05/09/2022"
"kick down the door of the target.","Kick down the door of the perp","Vykopnete dvere pachatele",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target by filling it with trash.","Cause Cr|revengeamount| of vandalism at the home of the perp by filling it with trash","Zpusobit Cr|revengeamount| vandalstvi v dome pachatele tim, ze ho zaplnite odpadky.",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of the target by breaking windows.","Cause Cr|revengeamount| of vandalism at the home of the perp by breaking windows","Zpusobeni Cr|revengeamount| vandalismu v dome pachatele rozbitim oken",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at the home of |purp.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at the home of |purp.name| by filling it with trash","Zpusobit Cr|revengeamount| vandalismu v dome |purp.name| tim, ze ho zaplnis odpadky.",,,,"11:49 05/09/2022"
"cause cr|revengeamount| of vandalism at |purp.home.name| by breaking windows.","Cause Cr|revengeamount| of vandalism at |purp.home.name| by breaking windows","Zpusobeni Cr|revengeamount| vandalismu na |purp.home.name| rozbitim oken",,,,"11:49 05/09/2022"
"kick down the door of |purp.name|.","Kick down the door of |purp.name|","Vykopnete dvere |purp.name|",,,,"11:49 05/09/2022"
"vandalism","Vandalism","Vandalismus",,,,"11:49 05/09/2022"
"humiliate","Humiliate","Ponizit",,,,"11:49 05/09/2022"
"throw some food in the face of |purp.name|.","Throw some food in the face of |purp.name|","Hodit nejake jidlo do obliceje |purp.name|",,,,"11:49 05/09/2022"
"take a photo of them","Take a photo of them","Vyfotte je",,,,"11:49 05/09/2022"
"identify the target","Identify the perp","Identifikace pachatele",,,,"11:49 05/09/2022"
"photograph","Photograph","Fotografie",,,,"11:49 05/09/2022"
"take a photo of the target","Take a photo of the target","Vyfotografujte cil",,,,"11:49 05/09/2022"
"ask staff","Ask the staff about |random.casualname|","Zeptejte se personalu na |random.casualname|",,,,"11:49 05/09/2022"
"find dossier","Find & open the hidden briefcase","Najdete a otevrete skryty kufrik",,,,"11:49 23/03/2023"
"take a photo of |purp.name|","Take a photo of |purp.name|","Vyfotografujte |purp.name|",,,,"11:49 05/09/2022"
"call","Call |fakenumber|","Volani |fakenumber|",,,,"11:49 05/09/2022"
"setup goose chase","Get to the payphone at |callphone.location.name| for |calltime.time24|","Dojdi k telefonni budce na |callphone.location.name| za |calltime.time24|",,,,"11:49 05/09/2022"
"answer","Answer the telephone","Zvedni telefon",,,,"11:49 05/09/2022"
"submit under door","To conclude, post findings under the door at |submission.name|","Na zaver zverejnete zjisteni pod dvermi na adrese |submission.name|",,,,"11:49 05/09/2022"
"setup meet","Talk to the person sitting with a |meetitem| at |meet.location.name|","Promluvte si s osobou sedici s |meetitem| na |meet.location.name|",,,,"11:49 05/09/2022"
"open dossier","Open the briefcase","Otevrete kufrik",,,,"11:49 05/09/2022"
"has camera","Acquire a camera (from City Hall or elsewhere)","Poridit kameru (na radnici nebo jinde).",,,,"11:49 05/09/2022"
"retrieveitem","Retrieve Item","Ziskat polozku",,,,"11:49 05/09/2022"
"who is the partner of |poster.name| cheating with?","Who is the partner of |poster.name| cheating with?","S kym podvadi partner |poster.name|?",,,,"11:49 05/09/2022"
"can you provide a photo of the cheater?","Can you provide a photo of the cheater?","Muzete poskytnout fotografii podvodnika?",,,,"11:49 05/09/2022"
"throw some food in the face of the target.","Throw some food in the face of the target","Hodte cili do obliceje nejake jidlo.",,,,"11:49 05/09/2022"
"submit to poster","To conclude, find |poster.name|","Na zaver najdete |poster.name|",,,,"11:49 05/09/2022"
"theft","Theft","Kradez",,,,"11:49 05/09/2022"
"home meeting","Investigate the theft at |poster.home.name|","Vysetrete kradez na adrese |poster.home.name|",,,,"11:49 05/09/2022"
"you cannot take your possessions with you to the retirement distict: please nominate a citizen to receive your possessions upon exit from the city.","You cannot take your possessions with you to the retirement district, please nominate a citizen to receive your possessions upon exit from the city:","Svuj majetek si nemuzete vzit s sebou do duchodoveho okrsku, jmenujte prosim obcana, ktery vas majetek pri odchodu z mesta prevezme:",,,,"11:49 05/09/2022"
"please leave any additional comments below: ","Please leave any additional comments below: ","Nize prosim zanechte dalsi komentare:",,,,"11:49 05/09/2022"
"collect retirement form","Collect retirement form from City Hall","Vyzvednuti formulare pro odchod do duchodu na radnici",,,,"11:49 05/09/2022"
"stealbriefcase","Tail & Acquire","Tail & Acquire",,,,"11:49 05/09/2022"
"find and tail the person with the briefcase","Find and tail the person with the briefcase","Najdete osobu s kufrikem a sledujte ji.",,,,"11:49 05/09/2022"
"who does the mark give the briefcase to?","Who does the mark give the briefcase to?","Komu znacka preda kufrik?",,,,"11:49 05/09/2022"
"provide photographic evidence of the recipient","Provide photographic evidence of the recipient","Poskytnete fotograficky dukaz prijemce",,,,"11:49 05/09/2022"
"where does the exchange take place?","Where does the exchange take place?","Kde probiha vymena?",,,,"11:49 05/09/2022"
"steal the briefcase","Steal the briefcase","Ukrast kufrik",,,,"11:49 05/09/2022"
"missed call","Missed Call","Zmeskany hovor",,,,"11:49 05/09/2022"
"provide photographic evidence of the exchange","Provide photographic evidence of the exchange","Poskytnete fotograficky dukaz o vymene",,,,"11:49 05/09/2022"
"leave the briefcase near the |secretlocation|","Leave the briefcase near the |secretlocation|","Nechte kufrik pobliz |secretlocation|",,,,"11:49 05/09/2022"
"call |fakenumber|","Call |fakenumber|","Volani |fakenumber|",,,,"11:49 05/09/2022"
"in the",,"v",,,,"11:49 05/09/2022"
"at","at","na adrese",,,,"11:49 05/09/2022"
"briefcase has been opened","Briefcase has been opened","Kufrik byl otevren",,,,"11:49 05/09/2022"
"briefcase was destroyed","Briefcase was destroyed","Kufrik byl znicen",,,,"11:49 05/09/2022"
"destroy the briefcase by throwing it into the sea","Destroy the briefcase by throwing it into the sea","Znicte kufrik vhozenim do more.",,,,"11:49 05/09/2022"
"arrest","Arrest","Zatceni",,,,"11:49 05/09/2022"
"indentify the suspect","Identify the suspect","Identifikace podezreleho",,,,"11:49 05/09/2022"
"arrest the target","Arrest the suspect","Zatceni podezreleho",,,,"11:49 05/09/2022"
"has handcuffs","Acquire handcuffs (from City Hall or elsewhere)","Ziskat pouta (na radnici nebo jinde).",,,,"11:49 05/09/2022"
"submit to city hall","Submit to City Hall","Predlozit na radnici",,,,"11:49 05/09/2022"
"a rare sync disk","a rare sync disk","vzacny Sync disk",,,,"11:49 05/09/2022"
"pick up your reward cityhalldesk","Pick up your reward on the desk at City Hall","Vyzvednete si odmenu na radnici.",,,,"11:49 20/10/2022"
"pick up your reward","Pick up your reward","Vyzvednete si odmenu",,,,"11:49 20/10/2022"
"recover my |stolenitem.name| and place it in my mailbox","Recover my |stolenitem.name| and place it in the mailbox for |poster.home.name|","Obnovte muj |stolenitem.name| a vlozte jej do schranky pro |poster.home.name|",,,,"14:10 20/10/2022"
"arrest the killer","Arrest the killer","Zatceni vraha",,,,"14:23 25/10/2022"
"locate and steal the item; |stolenitem.name|","Locate and steal the item from the mark; |stolenitem.name|","Najdete a ukradnete predmet ze znacky; |stolenitem.name|",,,,"16:07 07/11/2022"
"leave the item near the |secretlocation|","Leave the item near the |secretlocation|","Ponechte polozku v blizkosti |secretlocation|",,,,"16:07 07/11/2022"
"pick up your reward postersmailbox","Pick up your reward from the mailbox of |poster.home.name|","Vyzvednete si odmenu v postovni schrance |poster.home.name|",,,,"16:52 07/11/2022"
"destroy the item by throwing it into the sea","Destroy the item by throwing it into the sea","Znicte predmet vhozenim do more.",,,,"13:54 14/12/2022"
"callhandin","Call |fakenumber|","Volani |fakenumber|",,,,"15:54 14/12/2022"
"an important item was destroyed!","An important item was destroyed!","Dulezity predmet byl znicen!",,,,"17:07 14/12/2022"
"beat up the target.","Beat up the target","Znicit cil",,,,"11:59 09/01/2023"
"handcuff |purp.name|, leave them somewhere non-public.","Handcuff |purp.name|, leave them somewhere non-public","Spoutejte je |purp.name|, nechte je na neverejnem miste",,,,"11:59 09/01/2023"
"handcuff the target, leave them somewhere non-public.","Handcuff the target, leave them somewhere non-public","Spoutejte cil a nechte ho na neverejnem miste.",,,,"11:59 09/01/2023"
"beat up |purp.name|.","Beat up |purp.name|","Porazit |purp.name|",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.home.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at |purp.home.name| by filling it with trash","Zpusobit Cr|revengeamount| vandalismu na |purp.home.name| tim, ze ji zaplnite odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the home of the target by filling it with trash","Cause Cr|revengeamount| of vandalism at the home of the target by filling it with trash","Zpusobit Cr|revengeamount| vandalstvi v dome cile tim, ze ho zaplnite odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name|.","Cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name|","Pricina Cr|revengeamount| vandalismu na |purp.job.employer.location.name|",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name|.","Cause Cr|revengeamount| of vandalism at the workplace of |purp.name|","Pricina Cr|revengeamount| vandalismu na pracovisti |purp.name|",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target.","Cause Cr|revengeamount| of vandalism at the workplace of the target","Pricina Cr|revengeamount| vandalismu na pracovisti cile",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by filling it with trash","Zpusobit Cr|revengeamount| vandalismu na |purp.job.employer.location.name| tim, ze ji zaplnite odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by filling it with trash.","Cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by filling it with trash","Zpusobit Cr|revengeamount| vandalismu na pracovisti |purp.name| tim, ze ho zaplnite odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target by filling it with trash","Cause Cr|revengeamount| of vandalism at the workplace of the target by filling it with trash","Zpusobit Cr|revengeamount| vandalstvi na pracovisti cile tim, ze ho zaplnite odpadky.",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by breaking windows.","Cause Cr|revengeamount| of vandalism at |purp.job.employer.location.name| by breaking windows","Zpusobeni Cr|revengeamount| vandalismu na |purp.job.employer.location.name| rozbitim oken",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by breaking windows.","Cause Cr|revengeamount| of vandalism at the workplace of |purp.name| by breaking windows","Zpusobeni Cr|revengeamount| vandalismu na pracovisti |purp.name| rozbitim oken",,,,"11:59 09/01/2023"
"cause Cr|revengeamount| of vandalism at the workplace of the target by breaking windows.","Cause Cr|revengeamount| of vandalism at the workplace of the target by breaking windows.","Zpusobit Cr|revengeamount| vandalismus na pracovisti s cilem rozbiti oken.",,,,"11:59 09/01/2023"
"wait for the meeting to take place","Wait for the meeting to take place","Pockejte, az se schuzka uskutecni",,,,"12:13 21/03/2023"
