"Game Reference Key","Notes","Displayed Text","Alternate Text","Frequency","Requires Suffix","Misc."
"job failed","Job Failed",Práce se nezdařila,,,,"11:49 05/09/2022"
"locked_help","Locked! Interact with the door handle for options...",Zamčeno! Možnosti interakce s klikou dveri...,,,,"16:12 05/10/2022"
"locked","Locked!",Zamčeno!,,,,"16:12 05/10/2022"
"look at the target object to progress the action","Look at the target object to progress the action",Podívejte se na cílový objekt a pokračujte v akci,,,,"16:35 05/10/2022"
"nobody_home","If nobody is home you may have to come back later (or find them)...","Pokud nikdo není doma, budete se muset vrátit později (nebo je najit)...",,,,"11:52 24/10/2022"
"unable to save at this time","Unable to save at this time",V tuto chvíli nelze uložit,,,,"10:04 29/11/2022"
"game saved","Game saved",Hra uložena,,,,"10:12 29/11/2022"
"fingerprint_prompt","Inspect fingerprints after scanning with |controls.secondary|",Kontrola otisku prstu po skenování pomocí |controls.secondary|,,,,"14:58 03/02/2023"
"not_enough_money","You don't have enough money!",Nemáte dost peněz!,,,,"14:43 15/02/2023"
"you have acquired information about residents of: ","You have acquired information about residents of: ",Získané informace o obyvatelích: ,,,,"14:18 28/03/2023"
"new apartment","New Apartment",Nový apartmán,,,,"15:53 09/05/2023"
hotel_kickout1,"You have been kicked out of your hotel room for not paying your bill!","Vyhodili vás z hotelového pokoje, protože jste nezaplatili účet!",,,,16:06 17/08/2023
hotel_kickout2,"You have been kicked out of your hotel room for not paying your bill!",...Mozna se budete chtít hotelu na chvíli vyhnout...,,,,16:06 17/08/2023
"you died","You Died",Zemřel jsi,,,,"16:06 15/11/2023"
"coverup_success","Cover-up successful!",Schování se zdařilo!,,,,"16:40 21/03/2024"
"coverup_fail","Cover-up failed!",Schování se nezdařilo!,,,,"12:45 22/03/2024"
"coverup_bodyseen","Body has been seen! Don't let them call the enforcers!",Tělo spatřeno! Nedovolte zavolat posily!,,,,"16:52 22/03/2024"
"new enforcer call kidnapping","New Missing Person",Nová pohřešující osoba,,,,"16:07 28/03/2024"
"new kidnapping case","New Kidnapping Case",Nový případ únosu,"",,"","15:52 29/03/2024"
